House Vote #1 2020-01-07T18:55:00 - Call of the House
person,state,district,vote,name,party
400657,TX,28,Present,Rep. Henry Cuellar [D],Democrat
400659,WA,5,Present,Rep. Cathy McMorris Rodgers [R],Republican
400661,WI,4,Present,Rep. Gwen Moore [D],Democrat
400663,CA,6,Present,Rep. Doris Matsui [D],Democrat
412186,NJ,8,Not Voting,Rep. Albio Sires [D],Democrat
412189,CA,9,Present,Rep. Jerry McNerney [D],Democrat
412190,CA,23,Present,Rep. Kevin McCarthy [R],Republican
412191,CO,5,Present,Rep. Doug Lamborn [R],Republican
412192,CO,7,Present,Rep. Ed Perlmutter [D],Democrat
412193,CT,2,Present,Rep. Joe Courtney [D],Democrat
412195,FL,14,Present,Rep. Kathy Castor [D],Democrat
412196,FL,16,Not Voting,Rep. Vern Buchanan [R],Republican
412199,GA,4,Present,Rep. Henry “Hank” Johnson Jr. [D],Democrat
412209,IA,2,Present,Rep. David Loebsack [D],Democrat
412211,KY,3,Not Voting,Rep. John Yarmuth [D],Democrat
412212,MD,3,Not Voting,Rep. John Sarbanes [D],Democrat
412213,MI,7,Present,Rep. Tim Walberg [R],Republican
412217,NE,3,Present,Rep. Adrian Smith [R],Republican
412221,NY,9,Present,Rep. Yvette Clarke [D],Democrat
412226,OH,4,Present,Rep. Jim Jordan [R],Republican
412236,TN,9,Present,Rep. Steve Cohen [D],Democrat
412239,VT,0,Present,Rep. Peter Welch [D],Democrat
412250,FL,12,Present,Rep. Gus Bilirakis [R],Republican
412255,VA,1,Not Voting,Rep. Robert Wittman [R],Republican
412256,OH,5,Present,Rep. Robert Latta [R],Republican
412257,IL,11,Present,Rep. Bill Foster [D],Democrat
412258,IN,7,Present,Rep. André Carson [D],Democrat
412259,CA,14,Present,Rep. Jackie Speier [D],Democrat
412261,LA,1,Present,Rep. Steve Scalise [R],Republican
412272,VA,11,Present,Rep. Gerald Connolly [D],Democrat
412278,KY,2,Present,Rep. Brett Guthrie [R],Republican
412282,CT,4,Present,Rep. James Himes [D],Democrat
412283,CA,50,Not Voting,"Rep. Duncan Hunter [R, 2013-2020]",Republican
412286,AZ,2,Present,Rep. Ann Kirkpatrick [D],Democrat
412292,MO,3,Present,Rep. Blaine Luetkemeyer [R],Republican
412293,NM,3,Present,Rep. Ben Luján [D],Democrat
412295,CA,4,Present,Rep. Tom McClintock [R],Republican
412302,TX,22,Present,Rep. Pete Olson [R],Republican
412307,ME,1,Present,Rep. Chellie Pingree [D],Democrat
412309,FL,8,Present,Rep. Bill Posey [R],Republican
412310,TN,1,Present,Rep. David “Phil” Roe [R],Republican
412315,OR,5,Present,Rep. Kurt Schrader [D],Democrat
412317,PA,15,Present,Rep. Glenn Thompson [R],Republican
412318,NV,1,Present,Rep. Dina Titus [D],Democrat
412319,NY,20,Present,Rep. Paul Tonko [D],Democrat
412327,OH,11,Present,Rep. Marcia Fudge [D],Democrat
412331,IL,5,Present,Rep. Mike Quigley [D],Democrat
412379,CA,27,Not Voting,Rep. Judy Chu [D],Democrat
412382,CA,3,Present,Rep. John Garamendi [D],Democrat
412385,FL,22,Not Voting,Rep. Theodore “Ted” Deutch [D],Democrat
412388,GA,14,Present,"Rep. Tom Graves [R, 2013-2020]",Republican
412393,NY,23,Present,Rep. Tom Reed II [R],Republican
