House Vote #42 2020-02-06T20:11:00 - H.Amdt. 768 (Foxx) to H.R. 2474: Beginning on page 14, line 25, strike "the names of all Employees" and all that follows through "personal email Addresses" on page 15, line 4, and insert "the names of all employees in the bargaining unit and not more tha
person,state,district,vote,name,party
400657,TX,28,Aye,Rep. Henry Cuellar [D],Democrat
400659,WA,5,Aye,Rep. Cathy McMorris Rodgers [R],Republican
400661,WI,4,No,Rep. Gwen Moore [D],Democrat
400663,CA,6,No,Rep. Doris Matsui [D],Democrat
412186,NJ,8,No,Rep. Albio Sires [D],Democrat
412189,CA,9,No,Rep. Jerry McNerney [D],Democrat
412190,CA,23,Aye,Rep. Kevin McCarthy [R],Republican
412191,CO,5,Aye,Rep. Doug Lamborn [R],Republican
412192,CO,7,No,Rep. Ed Perlmutter [D],Democrat
412193,CT,2,No,Rep. Joe Courtney [D],Democrat
412195,FL,14,No,Rep. Kathy Castor [D],Democrat
412196,FL,16,Aye,Rep. Vern Buchanan [R],Republican
412199,GA,4,No,Rep. Henry “Hank” Johnson Jr. [D],Democrat
412209,IA,2,No,Rep. David Loebsack [D],Democrat
412211,KY,3,No,Rep. John Yarmuth [D],Democrat
412212,MD,3,No,Rep. John Sarbanes [D],Democrat
412213,MI,7,No,Rep. Tim Walberg [R],Republican
412217,NE,3,Aye,Rep. Adrian Smith [R],Republican
412221,NY,9,No,Rep. Yvette Clarke [D],Democrat
412226,OH,4,Aye,Rep. Jim Jordan [R],Republican
412236,TN,9,No,Rep. Steve Cohen [D],Democrat
412239,VT,0,No,Rep. Peter Welch [D],Democrat
412250,FL,12,Aye,Rep. Gus Bilirakis [R],Republican
412255,VA,1,Aye,Rep. Robert Wittman [R],Republican
412256,OH,5,Aye,Rep. Robert Latta [R],Republican
412257,IL,11,No,Rep. Bill Foster [D],Democrat
412258,IN,7,No,Rep. André Carson [D],Democrat
412259,CA,14,No,Rep. Jackie Speier [D],Democrat
412261,LA,1,Aye,Rep. Steve Scalise [R],Republican
412272,VA,11,No,Rep. Gerald Connolly [D],Democrat
412278,KY,2,Aye,Rep. Brett Guthrie [R],Republican
412282,CT,4,No,Rep. James Himes [D],Democrat
412286,AZ,2,Not Voting,Rep. Ann Kirkpatrick [D],Democrat
412292,MO,3,Aye,Rep. Blaine Luetkemeyer [R],Republican
412293,NM,3,No,Rep. Ben Luján [D],Democrat
412295,CA,4,No,Rep. Tom McClintock [R],Republican
412302,TX,22,Aye,Rep. Pete Olson [R],Republican
412307,ME,1,No,Rep. Chellie Pingree [D],Democrat
412309,FL,8,Aye,Rep. Bill Posey [R],Republican
412310,TN,1,Aye,Rep. David “Phil” Roe [R],Republican
412312,MP,0,No,Rep. Gregorio Sablan [D],Democrat
412315,OR,5,Aye,Rep. Kurt Schrader [D],Democrat
412317,PA,15,Aye,Rep. Glenn Thompson [R],Republican
412318,NV,1,No,Rep. Dina Titus [D],Democrat
412319,NY,20,No,Rep. Paul Tonko [D],Democrat
412327,OH,11,No,Rep. Marcia Fudge [D],Democrat
412331,IL,5,No,Rep. Mike Quigley [D],Democrat
412379,CA,27,No,Rep. Judy Chu [D],Democrat
412382,CA,3,No,Rep. John Garamendi [D],Democrat
412385,FL,22,No,Rep. Theodore “Ted” Deutch [D],Democrat
412388,GA,14,Aye,"Rep. Tom Graves [R, 2013-2020]",Republican
412393,NY,23,Aye,Rep. Tom Reed II [R],Republican
412394,AL,2,Not Voting,Rep. Martha Roby [R],Republican
412395,AL,5,Aye,Rep. Mo Brooks [R],Republican
412396,AL,7,Not Voting,Rep. Terri Sewell [D],Democrat
412397,AZ,4,Aye,Rep. Paul Gosar [R],Republican
412399,AZ,6,Aye,Rep. David Schweikert [R],Republican
412400,AR,1,Aye,Rep. Eric “Rick” Crawford [R],Republican
412402,AR,3,Aye,Rep. Steve Womack [R],Republican
412404,CA,37,No,Rep. Karen Bass [D],Democrat
412405,CO,3,Aye,Rep. Scott Tipton [R],Republican
412410,FL,11,Not Voting,Rep. Daniel Webster [R],Republican
412412,FL,24,No,Rep. Frederica Wilson [D],Democrat
412416,GA,7,Aye,Rep. Rob Woodall [R],Republican
412417,GA,8,Aye,Rep. Austin Scott [R],Republican
412421,IL,16,Aye,Rep. Adam Kinzinger [R],Republican
412427,IN,8,Aye,Rep. Larry Bucshon [R],Republican
412432,LA,2,No,Rep. Cedric Richmond [D],Democrat
412434,MD,1,Aye,Rep. Andy Harris [R],Republican
412435,MA,9,No,Rep. William Keating [D],Democrat
412437,MI,2,No,Rep. Bill Huizenga [R],Republican
412438,MI,3,Aye,Rep. Justin Amash [L],Independent
412443,MS,4,Aye,Rep. Steven Palazzo [R],Republican
412444,MO,4,Aye,Rep. Vicky Hartzler [R],Republican
412445,MO,7,Aye,Rep. Billy Long [R],Republican
412460,OH,6,Aye,Rep. Bill Johnson [R],Republican
412461,OH,15,Aye,Rep. Steve Stivers [R],Republican
412463,OH,7,Aye,Rep. Bob Gibbs [R],Republican
412465,PA,16,Aye,Rep. Mike Kelly [R],Republican
412470,RI,1,No,Rep. David Cicilline [D],Democrat
412472,SC,3,Aye,Rep. Jeff Duncan [R],Republican
