Senate Vote #200 2020-10-01T13:05:00 - Motion to Invoke Cloture: Motion to Proceed to S. 4653
person,state,district,vote,name,party
412582,VA,,Yea,Sen. Timothy “Tim” Kaine [D],Democrat
412598,NJ,,Yea,Sen. Cory Booker [D],Democrat
412611,AZ,,Yea,Sen. Martha McSally [R],Republican
412665,AK,,Yea,Sen. Dan Sullivan [R],Republican
412666,GA,,Nay,Sen. David Perdue [R],Republican
412667,IA,,Yea,Sen. Joni Ernst [R],Republican
412668,NC,,Nay,Sen. Thom Tillis [R],Republican
412669,SD,,Nay,Sen. Mike Rounds [R],Republican
412671,NE,,Nay,Sen. Benjamin Sasse [R],Republican
412678,CA,,Not Voting,Sen. Kamala Harris [D],Democrat
412679,LA,,Nay,Sen. John Kennedy [R],Republican
412680,NH,,Yea,Sen. Margaret “Maggie” Hassan [D],Democrat
412681,NV,,Yea,Sen. Catherine Cortez Masto [D],Democrat
412715,NV,,Yea,Sen. Jacky Rosen [D],Democrat
412741,AL,,Yea,Sen. Doug Jones [D],Democrat
412742,MN,,Yea,Sen. Tina Smith [D],Democrat
412743,MS,,Nay,Sen. Cindy Hyde-Smith [R],Republican
412838,FL,,Nay,Sen. Rick Scott [R],Republican
412839,IN,,Nay,Sen. Mike Braun [R],Republican
412840,MO,,Nay,Sen. Joshua Hawley [R],Republican
412841,UT,,Nay,Sen. Mitt Romney [R],Republican
456790,GA,,Nay,Sen. Kelly Loeffler [R],Republican
